ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
trv1_0063,Li2ZrCl5.5I0.5,8.1e-4,30,30°C: 9.3e-4,机械化学球磨（600 rpm，10 h）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；I系列最高值
trv1_0064,Li2ZrCl5.25I0.75,7.4e-4,30,30°C: 8.5e-4,机械化学球磨（600 rpm，10 h）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；y=0.75
trv1_0065,Li2ZrCl5I,6.7e-4,30,30°C: 7.7e-4,机械化学球磨（600 rpm，10 h）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；y=1.0
trv1_0066,Li2ZrCl4.5I1.5,5.4e-4,30,30°C: 6.3e-4,机械化学球磨（600 rpm，10 h）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；y=1.5
trv1_0067,Li2ZrCl4I2,1.9e-4,30,30°C: 2.2e-4,机械化学球磨（600 rpm，10 h；额外添加ZrI4）,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；过量I导致结构畸变
trv1_0068,Li2ZrCl5.5Br0.5,4.7e-4,30,30°C: 5.5e-4,机械化学球磨,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；Br取代中唯一微升组
trv1_0069,Li2ZrCl5Br,3.2e-4,30,30°C: 3.8e-4,机械化学球磨,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；y=1.0
trv1_0070,Li2ZrCl4.5Br1.5,2.1e-4,30,30°C: 2.5e-4,机械化学球磨,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；y=1.5
trv1_0071,Li2ZrCl4Br2,1.8e-4,30,30°C: 2.1e-4,机械化学球磨,halide,否,10.1002/smll.202505926,2025,室温值由30°C数据外推至27°C；Br系列最低值
trv1_0072,Li5.5PS4.5Cl1.5,7.8e-3,25,,unknow,argyrodite,否,10.1007/s10854-025-14581-w,2025,纯相Argyrodite基准
trv1_0073,Li5.55Si0.05P0.95S4.4Cl1.5O0.1,~7.6e-3,25,,unknow,argyrodite,否,10.1007/s10854-025-14581-w,2025,由图估算；纯相
trv1_0074,Li5.7Si0.2P0.8S4.1Cl1.5O0.4,2.03e-3,25,,unknow,argyrodite,否,10.1007/s10854-025-14581-w,2025,出现SiO2与LiCl杂相
trv1_0075,Li3YCl3Br3,2.08e-3,25,,湿化学法（450°C烧结6 h）,halide,否,10.1016/s1003-6326(25)66819-1,2025,本文最优；双卤素协同效应；单斜相
trv1_0076,Li3YBr6,1.1e-3,25,,湿化学法（450°C烧结6 h）,halide,否,10.1016/s1003-6326(25)66819-1,2025,估算范围
trv1_0077,Li1.10NbO1.10Cl3.90,2.9e-3,25,,高能球磨（500 rpm，40 h）+真空安瓿100°C退火12 h,oxyhalide,否,10.1021/acs.chemmater.5c00627,2025,富Li/O；含5.3 wt% LiCl杂质
trv1_0078,Li1.00NbO1.00Cl4.00,5.0e-3,25,,高能球磨（500 rpm，40 h）+真空安瓿100°C退火12 h,oxyhalide,否,10.1021/acs.chemmater.5c00627,2025,正文另记为5.1e-3 S/cm；含少于1 wt% LiCl
trv1_0079,Li0.95NbO0.95Cl4.05,9.4e-3,25,,高能球磨（500 rpm，40 h）+真空安瓿100°C退火12 h,oxyhalide,否,10.1021/acs.chemmater.5c00627,2025,系列最高电导率
trv1_0080,Li0.90NbO0.90Cl4.10,3.1e-3,25,,高能球磨（500 rpm，40 h）+真空安瓿100°C退火12 h,oxyhalide,否,10.1021/acs.chemmater.5c00627,2025,
trv1_0081,Li0.85NbO0.85Cl4.15,2.8e-3,25,,高能球磨（500 rpm，40 h）+真空安瓿100°C退火12 h,oxyhalide,否,10.1021/acs.chemmater.5c00627,2025,
trv1_0082,Li0.80NbO0.80Cl4.20,1.7e-3,25,,高能球磨（500 rpm，40 h）+真空安瓿100°C退火12 h,oxyhalide,否,10.1021/acs.chemmater.5c00627,2025,系列最低电导率
trv1_0083,Li2ZrCl6,1.50e-4,25,,机械化学球磨（1000 rpm，15 h）,halide,否,10.1021/acs.jpcc.5c05412,2025,纯相LZC；三方相
trv1_0084,Li1.9Zr0.9Sb0.1Cl5.5O0.25,2.63e-4,25,,机械化学球磨（1000 rpm，15 h）,oxyhalide,否,10.1021/acs.jpcc.5c05412,2025,x=0.05；I相与II相共存
trv1_0085,Li1.8Zr0.8Sb0.2Cl5O0.5,3.47e-4,25,,机械化学球磨（1000 rpm，15 h）,oxyhalide,否,10.1021/acs.jpcc.5c05412,2025,x=0.10；I相与II相共存
trv1_0086,Li1.75Zr0.75Sb0.25Cl4.75O0.625,4.20e-4,25,,机械化学球磨（1000 rpm，15 h）,oxyhalide,否,10.1021/acs.jpcc.5c05412,2025,系列最高电导率；单斜相为主
trv1_0087,Li1.7Zr0.7Sb0.3Cl4.5O0.75,3.63e-4,25,,机械化学球磨（1000 rpm，15 h）,oxyhalide,否,10.1021/acs.jpcc.5c05412,2025,x=0.15；纯II相
trv1_0088,Li1.6Zr0.6Sb0.4Cl4O1.0,6.5e-5,25,,机械化学球磨（1000 rpm，15 h）,oxyhalide,否,10.1021/acs.jpcc.5c05412,2025,x=0.20；过量掺杂导致电导率下降
trv1_0089,Li3InCl6,1.30e-3,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,未取代基准；三个取代系列共用基准，已合并
trv1_0090,Li3InCl5.8Br0.2,9.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.2
trv1_0091,Li3InCl5.6Br0.4,7.5e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.4
trv1_0092,Li3InCl5.4Br0.6,4.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.6；Br固溶极限
trv1_0093,Li3InCl5.2Br0.8,2.8e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.8；接近杂相区
trv1_0094,Li3InCl5Br,3.0e-5,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=1.0；杂相主导
trv1_0095,Li3InCl4.8Br1.2,1.5e-7,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=1.2；原值为1.5e-4 mS/cm；杂相
trv1_0096,Li3InCl5.8F0.2,9.5e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.2
trv1_0097,Li3InCl5.6F0.4,8.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.4
trv1_0098,Li3InCl5.4F0.6,6.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.6
trv1_0099,Li3InCl5.2F0.8,5.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.8；F单相固溶极限
trv1_0100,Li3InCl5F,4.5e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=1.0；纯相或微量杂相
trv1_0101,Li3InCl4.8F1.2,3.5e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=1.2；出现InF3杂相
trv1_0102,Li3InCl5.9I0.1,3.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.1；生成LiInI4杂相
trv1_0103,Li3InCl5.8I0.2,2.0e-4,RT,,球磨+退火,halide,否,10.1021/acs.jpclett.5c00947,2025,x=0.2；生成LiInI4杂相
trv1_0104,Li2.375Al0.375Zr0.625Cl6,,30,30°C: 8.7e-4,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0105,Li1.625Al0.375Zr0.625Cl5.25,9.81e-4,27（外推）,30°C: 1.1e-3,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,由30°C按Ea=0.30 eV外推至27°C
trv1_0106,Li2.25Fe0.25Zr0.75Cl6,,30,30°C: 8.6e-4,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0107,Li1.75Fe0.25Zr0.75Cl5.75,,30,30°C: 1.2e-3,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0108,Li2.1Zr0.6Al0.2Y0.2Cl5.7,,30,30°C: 1.81e-3,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0109,Li2.4Zr0.6Al0.2Y0.2Cl6,,30,30°C: 7.6e-4,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0110,Li2.1Zr0.6Fe0.2Y0.2Cl5.7,,30,30°C: 1.36e-3,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0111,Li2.4Zr0.6Fe0.2Y0.2Cl6,,30,30°C: 9.5e-4,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0112,Li1.8Zr0.8Fe0.1Al0.1Cl5.6,,30,30°C: 1.04e-3,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0113,Li2.2Zr0.8Fe0.1Al0.1Cl6,,30,30°C: 9.6e-4,机械化学球磨,halide,unknow,10.1021/acsnano.4c16514,2025,
trv1_0114,Li0.388La0.475Ta0.238Cl3,1.56e-3,30,30°C: 1.72e-3,高能震荡球磨（875 cycles/min，3 h）,halide,否,10.1021/jacs.5c11480,2025,室温值由30°C数据外推至27°C；未掺杂基准
trv1_0115,Li0.488La0.475Ta0.238Cl2.9O0.1,1.70e-3,30,30°C: 1.86e-3,高能震荡球磨（875 cycles/min，3 h）,oxyhalide,否,10.1021/jacs.5c11480,2025,室温值由30°C数据外推至27°C；x=0.10
trv1_0116,Li0.538La0.475Ta0.238Cl2.85O0.15,1.88e-3,30,30°C: 2.05e-3,高能震荡球磨（875 cycles/min，3 h）,oxyhalide,否,10.1021/jacs.5c11480,2025,室温值由30°C数据外推至27°C；最优掺杂
trv1_0117,Li0.588La0.475Ta0.238Cl2.8O0.2,1.62e-3,30,30°C: 1.78e-3,高能震荡球磨（875 cycles/min，3 h）,oxyhalide,否,10.1021/jacs.5c11480,2025,室温值由30°C数据外推至27°C；x=0.20
trv1_0118,Li0.688La0.475Ta0.238Cl2.7O0.3,7.9e-4,30,30°C: 8.7e-4,高能震荡球磨（875 cycles/min，3 h）,oxyhalide,否,10.1021/jacs.5c11480,2025,室温值由30°C数据外推至27°C；x=0.30
trv1_0119,Li3InCl6,1.86e-3,25,,高能球磨+350°C热处理,halide,否,10.1039/d5ta05447h,2025,纯相基准；另有外推27°C值2.03e-3 S/cm
trv1_0120,Li3.25InCl5.75O0.25,9.1e-4,25,,高能球磨+350°C热处理,oxyhalide,否,10.1039/d5ta05447h,2025,仅掺O；另有外推27°C值1.00e-3 S/cm
trv1_0121,Li3In0.75Zr0.25Cl5.75O0.25,1.05e-3,25,,高能球磨+350°C热处理,oxyhalide,否,10.1039/d5ta05447h,2025,共掺杂最优；正文另记1.12e-3 S/cm；外推27°C值1.15e-3 S/cm
trv1_0122,Li2.75In0.5Zr0.5Cl5.75O0.25,6.6e-4,25,,高能球磨+350°C热处理,oxyhalide,否,10.1039/d5ta05447h,2025,另有外推27°C值7.2e-4 S/cm
trv1_0123,Li2.5In0.25Zr0.75Cl5.75O0.25,4.8e-4,25,,高能球磨+350°C热处理,oxyhalide,是,10.1039/d5ta05447h,2025,部分非晶化；出现ZrO2杂相；外推27°C值5.3e-4 S/cm
trv1_0124,LiTaOCl4,~1.0e-2,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,LTOC基准；由图估算
trv1_0125,LiTaO0.83S0.17Cl4,~7.0e-3,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,x=0.17；由Figure 2b估算
trv1_0126,LiTaO0.80S0.20Cl4,~6.0e-3,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,x=0.20；由Figure 2b估算
trv1_0127,LiTaO0.75S0.25Cl4,~5.0e-3,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,x=0.25；由Figure 2b估算
trv1_0128,LiTaO0.67S0.33Cl4,~3.5e-3,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,x=0.33；由Figure 2b估算
trv1_0129,LiTaO0.5S0.5Cl4,1.89e-3,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,LTOSC-1；最低活化能
trv1_0130,LiTaO0.34S0.66Cl4,~1.2e-3,RT,,unknow,oxyhalide,是,10.1002/smll.74036,2026,x=0.66；由Figure 2b估算
trv1_0131,Li3ZrCl4O1.5,~8.0e-4,25,,unknow,oxyhalide,是,10.1021/acs.energyfuels.6c01704,2026,x=0；由Figure 1d估算
trv1_0132,Li2.975ZrCl4O1.475Br0.025,3.4e-3,25,,unknow,oxyhalide,是,10.1021/acs.energyfuels.6c01704,2026,x=0.025；最优组分
trv1_0133,Li2.95ZrCl4O1.45Br0.05,~2.2e-3,25,,unknow,oxyhalide,是,10.1021/acs.energyfuels.6c01704,2026,x=0.05；由Figure 1d估算
trv1_0134,Li2.90ZrCl4O1.40Br0.10,~1.2e-3,25,,unknow,oxyhalide,是,10.1021/acs.energyfuels.6c01704,2026,x=0.10；由Figure 1d估算
trv1_0135,Li2.85ZrCl4O1.35Br0.15,~7.0e-4,25,,unknow,oxyhalide,是,10.1021/acs.energyfuels.6c01704,2026,x=0.15；由Figure 1d估算
trv1_0136,Li2ZrCl6,1.0e-5,25,,unknow,halide,否,10.1021/acsaem.6c01288,2026,主值为σTOT；σbulk=1.0e-4 S/cm；基准材料
trv1_0137,Li2.20Zr0.90Mg0.10Cl6,1.09e-3,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,主值为σbulk
trv1_0138,Li2.20Zr0.90Zn0.10Cl6,4.8e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,主值为σbulk
trv1_0139,Li2.25Zr0.75Fe0.25Cl6,1.24e-3,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,主值为σbulk最高体相电导率
trv1_0140,Li2.25Zr0.75Ga0.25Cl6,2.9e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,主值为σbulk
trv1_0141,Li2.10Zr0.95Mg0.05Cl6,5.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；低掺杂量
trv1_0142,Li2.30Zr0.85Mg0.15Cl6,6.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk
trv1_0143,Li2.10Zr0.95Zn0.05Cl6,2.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；低掺杂量
trv1_0144,Li2.30Zr0.85Zn0.15Cl6,3.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；出现单斜相
trv1_0145,Li2.10Zr0.90Fe0.10Cl6,5.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；低掺杂量
trv1_0146,Li2.20Zr0.80Fe0.20Cl6,9.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；接近最优
trv1_0147,Li2.30Zr0.70Fe0.30Cl6,8.0e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；开始出现二次相
trv1_0148,Li2.10Zr0.90Ga0.10Cl6,1.5e-4,RT,,unknow,halide,否,10.1021/acsaem.6c01288,2026,仅有σbulk；低掺杂量
zec,Li2Zr0.8Al0.2Cl3.8O,0.00198,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.98 mS/cm
tsw,Li2Zr0.75Al0.25Cl3.75O,0.00201,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.01 mS/cm
wnt,Li2Zr0.7Al0.3Cl3.7O,0.00174,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.74 mS/cm
odf,Li2Zr0.6Al0.4Cl3.6O,0.00122,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.22 mS/cm
nsm,Li2Zr0.5Al0.5Cl3.5O,0.000846,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.846 mS/cm
tlx,Li2.4Zr0.8Al0.2Cl3.8O1.2,0.0021,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.1 mS/cm
btq,Li2.4Zr0.75Al0.25Cl3.75O1.2,0.00254,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.54 mS/cm
xhm,Li2.4Zr0.7Al0.3Cl3.7O1.2,0.00224,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.24 mS/cm
gmh,Li2.4Zr0.6Al0.4Cl3.6O1.2,0.00134,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.34 mS/cm
gno,Li2.4Zr0.5Al0.5Cl3.5O1.2,0.000907,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.907 mS/cm
dbx,Li2.8Zr0.8Al0.2Cl3.8O1.4,0.00224,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.24 mS/cm
pkj,Li2.8Zr0.75Al0.25Cl3.75O1.4,0.00255,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.55 mS/cm
xfm,Li2.8Zr0.7Al0.3Cl3.7O1.4,0.00232,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 2.32 mS/cm
wen,Li2.8Zr0.6Al0.4Cl3.6O1.4,0.00134,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.34 mS/cm
vxk,Li2.8Zr0.5Al0.5Cl3.5O1.4,0.000969,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.969 mS/cm
thq,Li3.2Zr0.8Al0.2Cl3.8O1.6,0.00138,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.38 mS/cm
oyy,Li3.2Zr0.75Al0.25Cl3.75O1.6,0.00142,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.42 mS/cm
okv,Li3.2Zr0.7Al0.3Cl3.7O1.6,0.00137,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.37 mS/cm
nmx,Li3.2Zr0.6Al0.4Cl3.6O1.6,0.00112,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1.12 mS/cm
azb,Li3.2Zr0.5Al0.5Cl3.5O1.6,0.000921,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.921 mS/cm
dax,Li3.6Zr0.8Al0.2Cl3.8O1.8,0.000624,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.624 mS/cm
mny,Li3.6Zr0.75Al0.25Cl3.75O1.8,0.000733,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.733 mS/cm
lim,Li3.6Zr0.7Al0.3Cl3.7O1.8,0.001,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 1 mS/cm
edx,Li3.6Zr0.6Al0.4Cl3.6O1.8,0.000693,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.693 mS/cm
wdm,Li3.6Zr0.5Al0.5Cl3.5O1.8,0.00036,RT,,unknow,halides,是,10.1038/s41467-025-68210-5,2026,Source data/add-data-LZACO.txt; original 0.36 mS/cm
trv1_0149,C4N2H12ZnBr4,2.9e-4,25,,水热/溶剂热法+冷压,hybrid halide,unknow,10.1038/s41467-026-68394-4,2026,PipZnBr4；含过量ZnBr2
trv1_0150,C4N2H12ZnBr4,2.3e-4,25,,水热/溶剂热法+冷压,hybrid halide,unknow,10.1038/s41467-026-68394-4,2026,PipZnBr4；1:1化学计量比
